Date	China AQI	US aqi
8/11/2014	76	71.875
8/12/2014	119	82.66666667
8/13/2014	70	82.75
8/14/2014	104	85.45833333
8/15/2014	109	104.125
8/16/2014	159	142.9166667
8/17/2014	124	116.3333333
8/18/2014	135	137.7272727
8/19/2014	150	158.4583333
8/20/2014	164	169.125
8/21/2014	169	181.173913
8/22/2014	83	117.9166667
8/23/2014	155	183.8333333
8/24/2014	75	62.16666667
8/25/2014	59	54.875
8/26/2014	78	70.5
8/27/2014	136	131.6666667
8/28/2014	103	165.75
8/29/2014	104	165.625
8/30/2014	176	203.875
8/31/2014	89	168.4166667
9/1/2014	127	178.0416667
9/2/2014	42	80.875
9/3/2014	54	49.04166667
9/4/2014	100	115.1666667
9/5/2014	140	170.1666667
9/6/2014	186	191.8333333
9/7/2014	200	201.9583333
9/8/2014	61	37
9/9/2014	109	109.2083333
9/10/2014	111	145.2083333
9/11/2014	114	170.5416667
9/12/2014	97	154.8333333
9/13/2014	94	147.3333333
9/14/2014	66	108.5833333
9/15/2014	54	61.33333333
9/16/2014	87	112.05
9/17/2014	80	131.9090909
9/18/2014	84	145.7916667
9/19/2014	117	171.3043478
9/20/2014	168	195.625
9/21/2014	129	174.375
9/22/2014	127	177.4583333
9/23/2014	64	142.5454545
9/24/2014	60	87.91666667
9/25/2014	144	186.9583333
9/26/2014	170	200.4583333
9/27/2014	58	95.25
9/28/2014	87	153.7083333
9/29/2014	70	113.0416667
9/30/2014	53	81.29166667
10/1/2014	92	164.9583333
10/2/2014	78	143.9166667
10/3/2014	123	193.5
10/4/2014	95	166.9166667
10/5/2014	54	93.58333333
10/6/2014	68	93.95833333
10/7/2014	200	210.5
10/8/2014	314	349.2916667
10/9/2014	379	416.6666667
10/10/2014	346	372.8333333
10/11/2014	233	244.2916667
10/12/2014	30	28.54166667
10/13/2014	49	48.29166667
10/14/2014	80	118
10/15/2014	73	103.1666667
10/16/2014	76	111
10/17/2014	132	183.5
10/18/2014	211	257.875
10/19/2014	289	330.0833333
10/20/2014	250	265.5217391
10/21/2014	82	115.375
10/22/2014	99	168.3333333
10/23/2014	163	201.3333333
10/24/2014	267	310.75
10/25/2014	353	406.6666667
10/26/2014	78	126.2083333
10/27/2014	72	91.375
10/28/2014	88	151.75
10/29/2014	140	193.7083333
10/30/2014	206	240.5416667
10/31/2014	204	237.4166667
11/1/2014	65	96.875
11/2/2014	34	31.95833333
11/3/2014	59	78.625
11/4/2014	150	192.7916667
11/5/2014	79	119.5
11/6/2014	32	45.52173913
11/7/2014	63	131.375
11/8/2014	93	162.0416667
11/9/2014	80	141.125
11/10/2014	95	153.25
